=========================================================================
MCL Orthogonality — Detailed Evidence Log
Document: MCL-ORTH-2026-0526-001 v6.0.0
Author:   Madeeh Ibrahim
Run mode: FULL (Extended verification with maximum seed/byte budget)
=========================================================================

CONFIGURATION:
  Engine:              MCL_T2 (Gauss-Seidel)
  Channels per seed:   20
  Bytes per channel:   10000000
  Seeds:               20
  Total pairs:         3800
  Tests per pair:      2 (Pearson + Hamming)
  Total individual tests: 7600
  Hamming epsilon:     2.7951e-04

=========================================================================
STAGE 1: Pearson Independence Tests (per pair) (3800 entries)
=========================================================================

Test_ID  Seed   Pair       |r|        p-value      Bonf_thresh   Pass
-------  -----  ---------  ---------  -----------  ------------  -----
1        0      ( 0, 1)   0.000179   5.7036e-01   2.6316e-07   PASS
2        0      ( 0, 2)   0.000419   1.8491e-01   2.6316e-07   PASS
3        0      ( 0, 3)   0.000186   5.5745e-01   2.6316e-07   PASS
4        0      ( 0, 4)   0.000203   5.2132e-01   2.6316e-07   PASS
5        0      ( 0, 5)   0.000153   6.2822e-01   2.6316e-07   PASS
6        0      ( 0, 6)   0.000189   5.5034e-01   2.6316e-07   PASS
7        0      ( 0, 7)   0.000111   7.2472e-01   2.6316e-07   PASS
8        0      ( 0, 8)   0.000080   8.0024e-01   2.6316e-07   PASS
9        0      ( 0, 9)   0.000019   9.5297e-01   2.6316e-07   PASS
10       0      ( 0,10)   0.000390   2.1710e-01   2.6316e-07   PASS
11       0      ( 0,11)   0.000180   5.6857e-01   2.6316e-07   PASS
12       0      ( 0,12)   0.000216   4.9465e-01   2.6316e-07   PASS
13       0      ( 0,13)   0.000281   3.7488e-01   2.6316e-07   PASS
14       0      ( 0,14)   0.000071   8.2169e-01   2.6316e-07   PASS
15       0      ( 0,15)   0.000201   5.2587e-01   2.6316e-07   PASS
16       0      ( 0,16)   0.000108   7.3227e-01   2.6316e-07   PASS
17       0      ( 0,17)   0.000395   2.1106e-01   2.6316e-07   PASS
18       0      ( 0,18)   0.000357   2.5946e-01   2.6316e-07   PASS
19       0      ( 0,19)   0.000192   5.4467e-01   2.6316e-07   PASS
20       0      ( 1, 2)   0.000495   1.1741e-01   2.6316e-07   PASS
21       0      ( 1, 3)   0.000400   2.0619e-01   2.6316e-07   PASS
22       0      ( 1, 4)   0.000502   1.1267e-01   2.6316e-07   PASS
23       0      ( 1, 5)   0.000439   1.6519e-01   2.6316e-07   PASS
24       0      ( 1, 6)   0.000185   5.5953e-01   2.6316e-07   PASS
25       0      ( 1, 7)   0.000576   6.8530e-02   2.6316e-07   PASS
26       0      ( 1, 8)   0.000014   9.6410e-01   2.6316e-07   PASS
27       0      ( 1, 9)   0.000061   8.4696e-01   2.6316e-07   PASS
28       0      ( 1,10)   0.000022   9.4430e-01   2.6316e-07   PASS
29       0      ( 1,11)   0.000496   1.1669e-01   2.6316e-07   PASS
30       0      ( 1,12)   0.000391   2.1621e-01   2.6316e-07   PASS
31       0      ( 1,13)   0.000726   2.1757e-02   2.6316e-07   PASS
32       0      ( 1,14)   0.000201   5.2532e-01   2.6316e-07   PASS
33       0      ( 1,15)   0.000255   4.2043e-01   2.6316e-07   PASS
34       0      ( 1,16)   0.000267   3.9780e-01   2.6316e-07   PASS
35       0      ( 1,17)   0.000008   9.8040e-01   2.6316e-07   PASS
36       0      ( 1,18)   0.000430   1.7402e-01   2.6316e-07   PASS
37       0      ( 1,19)   0.000419   1.8484e-01   2.6316e-07   PASS
38       0      ( 2, 3)   0.000207   5.1182e-01   2.6316e-07   PASS
39       0      ( 2, 4)   0.000424   1.7958e-01   2.6316e-07   PASS
40       0      ( 2, 5)   0.000112   7.2224e-01   2.6316e-07   PASS
41       0      ( 2, 6)   0.000416   1.8836e-01   2.6316e-07   PASS
42       0      ( 2, 7)   0.000549   8.2343e-02   2.6316e-07   PASS
43       0      ( 2, 8)   0.000023   9.4127e-01   2.6316e-07   PASS
44       0      ( 2, 9)   0.000382   2.2677e-01   2.6316e-07   PASS
45       0      ( 2,10)   0.000147   6.4314e-01   2.6316e-07   PASS
46       0      ( 2,11)   0.000317   3.1615e-01   2.6316e-07   PASS
47       0      ( 2,12)   0.000141   6.5470e-01   2.6316e-07   PASS
48       0      ( 2,13)   0.000219   4.8956e-01   2.6316e-07   PASS
49       0      ( 2,14)   0.000085   7.8875e-01   2.6316e-07   PASS
50       0      ( 2,15)   0.000411   1.9373e-01   2.6316e-07   PASS
51       0      ( 2,16)   0.000147   6.4139e-01   2.6316e-07   PASS
52       0      ( 2,17)   0.000236   4.5497e-01   2.6316e-07   PASS
53       0      ( 2,18)   0.000198   5.3070e-01   2.6316e-07   PASS
54       0      ( 2,19)   0.000174   5.8287e-01   2.6316e-07   PASS
55       0      ( 3, 4)   0.000242   4.4406e-01   2.6316e-07   PASS
56       0      ( 3, 5)   0.000785   1.3106e-02   2.6316e-07   PASS
57       0      ( 3, 6)   0.000268   3.9734e-01   2.6316e-07   PASS
58       0      ( 3, 7)   0.000355   2.6142e-01   2.6316e-07   PASS
59       0      ( 3, 8)   0.000145   6.4676e-01   2.6316e-07   PASS
60       0      ( 3, 9)   0.000760   1.6212e-02   2.6316e-07   PASS
61       0      ( 3,10)   0.000078   8.0520e-01   2.6316e-07   PASS
62       0      ( 3,11)   0.000068   8.3083e-01   2.6316e-07   PASS
63       0      ( 3,12)   0.000085   7.8773e-01   2.6316e-07   PASS
64       0      ( 3,13)   0.000524   9.7450e-02   2.6316e-07   PASS
65       0      ( 3,14)   0.000218   4.9049e-01   2.6316e-07   PASS
66       0      ( 3,15)   0.000500   1.1360e-01   2.6316e-07   PASS
67       0      ( 3,16)   0.000345   2.7475e-01   2.6316e-07   PASS
68       0      ( 3,17)   0.000283   3.7122e-01   2.6316e-07   PASS
69       0      ( 3,18)   0.000049   8.7755e-01   2.6316e-07   PASS
70       0      ( 3,19)   0.000143   6.5112e-01   2.6316e-07   PASS
71       0      ( 4, 5)   0.000035   9.1202e-01   2.6316e-07   PASS
72       0      ( 4, 6)   0.000277   3.8188e-01   2.6316e-07   PASS
73       0      ( 4, 7)   0.000355   2.6101e-01   2.6316e-07   PASS
74       0      ( 4, 8)   0.000502   1.1267e-01   2.6316e-07   PASS
75       0      ( 4, 9)   0.000634   4.4849e-02   2.6316e-07   PASS
76       0      ( 4,10)   0.000165   6.0099e-01   2.6316e-07   PASS
77       0      ( 4,11)   0.000228   4.7058e-01   2.6316e-07   PASS
78       0      ( 4,12)   0.000153   6.2793e-01   2.6316e-07   PASS
79       0      ( 4,13)   0.000261   4.0841e-01   2.6316e-07   PASS
80       0      ( 4,14)   0.000536   9.0354e-02   2.6316e-07   PASS
81       0      ( 4,15)   0.000355   2.6167e-01   2.6316e-07   PASS
82       0      ( 4,16)   0.000007   9.8292e-01   2.6316e-07   PASS
83       0      ( 4,17)   0.000040   8.9873e-01   2.6316e-07   PASS
84       0      ( 4,18)   0.000009   9.7717e-01   2.6316e-07   PASS
85       0      ( 4,19)   0.000141   6.5669e-01   2.6316e-07   PASS
86       0      ( 5, 6)   0.000179   5.7202e-01   2.6316e-07   PASS
87       0      ( 5, 7)   0.000169   5.9324e-01   2.6316e-07   PASS
88       0      ( 5, 8)   0.000032   9.1882e-01   2.6316e-07   PASS
89       0      ( 5, 9)   0.000540   8.7498e-02   2.6316e-07   PASS
90       0      ( 5,10)   0.000195   5.3656e-01   2.6316e-07   PASS
91       0      ( 5,11)   0.000482   1.2714e-01   2.6316e-07   PASS
92       0      ( 5,12)   0.000338   2.8477e-01   2.6316e-07   PASS
93       0      ( 5,13)   0.000271   3.9145e-01   2.6316e-07   PASS
94       0      ( 5,14)   0.000281   3.7341e-01   2.6316e-07   PASS
